from,to,ini,res,rea,sus,pmax,qmax
0,1,1,1.1227042690095687e-06,2.538287912543373e-07,0,114868.82148781714,114868.82148781714
1,8,1,6.524936443061152e-07,1.475203021909478e-07,0,114868.82148781714,114868.82148781714
2,10,1,1.7120972711118374e-07,3.8708286129485023e-08,0,114868.82148781714,114868.82148781714
2,81,1,1.4084577910017865e-07,3.1843393535692566e-08,0,114868.82148781714,114868.82148781714
3,10,1,6.52563500993613e-08,1.475360958768169e-08,0,114868.82148781714,114868.82148781714
4,5,1,9.830792765582019e-08,2.2226140165663698e-08,0,114868.82148781714,114868.82148781714
4,82,1,2.5677625830491876e-07,5.805376274719904e-08,0,114868.82148781714,114868.82148781714
5,6,1,7.470188900480539e-08,1.688912273152122e-08,0,114868.82148781714,114868.82148781714
5,14,1,2.298272286877719e-07,5.196093865984409e-08,0,114868.82148781714,114868.82148781714
6,7,1,7.057356754801965e-08,1.5955763097813143e-08,0,114868.82148781714,114868.82148781714
7,8,1,9.965681327025e-08,2.2531105608926092e-08,0,114868.82148781714,114868.82148781714
8,9,1,9.46558799767951e-08,2.1400459820840634e-08,0,114868.82148781714,114868.82148781714
9,10,1,9.54669478668068e-08,2.158383169162589e-08,0,114868.82148781714,114868.82148781714
11,19,1,2.0856404768929106e-07,4.715361078192669e-08,0,114868.82148781714,114868.82148781714
11,24,1,2.1149595908508175e-07,4.7816477706192404e-08,0,114868.82148781714,114868.82148781714
12,19,1,6.386935840451773e-08,1.4440028856673576e-08,0,114868.82148781714,114868.82148781714
13,14,1,8.72980626951881e-08,1.9736953304999053e-08,0,114868.82148781714,114868.82148781714
14,15,1,7.778343773807353e-08,1.7585820705999233e-08,0,114868.82148781714,114868.82148781714
15,16,1,7.855701456765697e-08,1.7760716337035493e-08,0,114868.82148781714,114868.82148781714
16,17,1,9.76774633304554e-08,2.2083600405146446e-08,0,114868.82148781714,114868.82148781714
17,18,1,9.87560173124028e-08,2.232744739236933e-08,0,114868.82148781714,114868.82148781714
17,83,1,1.7510855435265998e-07,3.9589760114514436e-08,0,114868.82148781714,114868.82148781714
18,19,1,7.68799827813756e-08,1.738156132448492e-08,0,114868.82148781714,114868.82148781714
20,21,1,2.0496043597550108e-07,4.6338881177069816e-08,0,114868.82148781714,114868.82148781714
20,29,1,1.7020575500805938e-07,3.848130113225691e-08,0,114868.82148781714,114868.82148781714
21,22,1,8.462256777115893e-08,1.913205880043594e-08,0,114868.82148781714,114868.82148781714
21,30,1,2.2282210160069515e-07,5.037717079667891e-08,0,114868.82148781714,114868.82148781714
22,23,1,7.950195459241978e-08,1.7974354951329692e-08,0,114868.82148781714,114868.82148781714
23,24,1,9.262510106072386e-08,2.0941327196337572e-08,0,114868.82148781714,114868.82148781714
24,25,1,9.442549076775911e-08,2.1348371825754235e-08,0,114868.82148781714,114868.82148781714
25,26,1,9.906607736680456e-08,2.2397547926407992e-08,0,114868.82148781714,114868.82148781714
26,27,1,7.37749228881601e-08,1.667954778341011e-08,0,114868.82148781714,114868.82148781714
27,28,1,9.214987391540524e-08,2.0833884537395973e-08,0,114868.82148781714,114868.82148781714
29,34,1,2.415300702555608e-07,5.4606798492561586e-08,0,114868.82148781714,114868.82148781714
30,31,1,7.773594690441114e-08,1.7575083647953824e-08,0,114868.82148781714,114868.82148781714
32,33,1,1.404230262075555e-07,3.1747814620838636e-08,0,114868.82148781714,114868.82148781714
32,85,1,2.29507196091289e-06,5.188858346411752e-07,0,114868.82148781714,114868.82148781714
33,34,1,8.815650477642463e-08,1.9931035862496006e-08,0,114868.82148781714,114868.82148781714
33,40,1,9.334583792521184e-08,2.110427640048268e-08,0,114868.82148781714,114868.82148781714
34,35,1,9.490157810971361e-08,2.1456008963935256e-08,0,114868.82148781714,114868.82148781714
35,36,1,1.0108243581798666e-07,2.285342027189264e-08,0,114868.82148781714,114868.82148781714
36,37,1,8.189303874689047e-08,1.8514947890601328e-08,0,114868.82148781714,114868.82148781714
37,38,1,7.897660652873906e-08,1.785558060649753e-08,0,114868.82148781714,114868.82148781714
37,41,1,1.8846092136789895e-07,4.260855613535107e-08,0,114868.82148781714,114868.82148781714
38,39,1,7.701897064855388e-08,1.7412984668368705e-08,0,114868.82148781714,114868.82148781714
41,42,1,1.3929350707680264e-07,3.1492445078233645e-08,0,114868.82148781714,114868.82148781714
42,43,1,9.032919712317455e-08,2.042225326263077e-08,0,114868.82148781714,114868.82148781714
42,49,1,7.729263455449091e-08,1.7474856507971862e-08,0,114868.82148781714,114868.82148781714
43,44,1,8.098009164231362e-08,1.8308542458262213e-08,0,114868.82148781714,114868.82148781714
