00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1685,43.9785,32.4725,56.513,35.159,57.5605,57.1335,55.1215,43.3375,36.2795,18.8355,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7675,44.1965,51.0175,56.2565,56.407,58.529,57.9565,56.4095,47.382,30.4965,24.3365,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4665,17.6775,41.7405,53.978,56.6275,51.5085,44.7805,21.7145,16.0,44.0245,24.1465,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.571,53.6405,56.7915,55.0125,38.5145,19.2915,35.54,0.979,32.8535,22.9295,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.06,45.9825,53.8125,57.5105,30.798,11.83,53.4485,51.294,10.5205,7.999,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9905,20.7665,53.7555,52.004,44.9595,37.9805,24.6305,0.5845,30.9425,26.7045,26.5315,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5395,34.9535,43.174,49.837,3.805,0.868,19.558,26.5635,0.0,19.4645,3.8155,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9555,8.074,17.3955,21.469,28.266,20.3205,34.12,31.9745,7.212,9.978,3.5085,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4975,27.409,32.5275,13.0355,32.826,32.9735,34.489,32.92,19.0955,20.516,14.9545,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1025,18.87,35.017,35.289,33.019,21.155,17.674,19.6125,2.1745,26.995,5.6495,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4745,5.264,32.0205,36.757,37.3945,31.438,27.002,30.038,1.3725,0.6355,0.2525,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3505,10.909,11.444,27.072,37.4005,27.395,22.2705,2.0845,9.4935,2.177,4.029,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.665,30.5295,34.8165,37.765,34.5445,27.0725,29.581,35.5835,29.408,15.724,3.6865,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.045,23.748,29.893,21.2845,9.7025,16.984,10.2155,4.8365,4.689,4.161,3.8595,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5205,33.226,37.26,38.8245,38.6835,38.6695,35.783,14.8985,37.517,33.187,22.686,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9395,0.7275,1.494,3.8525,4.665,10.5495,9.915,10.78,5.962,6.0395,4.6165,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.795,9.209,12.508,18.166,25.1385,16.9295,36.786,27.9185,3.5135,2.9975,23.6255,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1915,12.4985,11.917,11.918,15.9675,32.3115,27.911,28.526,22.1895,12.7485,2.8795,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.179,5.688,17.378,30.65,33.918,35.6965,38.0855,36.9225,35.2455,22.4105,8.7175,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.402,18.016,31.45,37.0845,37.064,34.4435,35.4015,33.7695,31.9365,23.994,24.815,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4105,9.8195,29.696,38.9015,9.2595,3.8505,4.0875,7.4925,17.512,28.7475,21.566,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8335,6.9225,36.674,37.396,34.23,33.816,37.26,34.465,35.564,34.3555,25.051,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3005,31.352,35.342,37.3785,39.2515,34.5915,17.673,31.6985,17.8505,32.3085,13.5935,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.651,15.3335,32.192,21.5535,37.0615,38.095,38.51,37.477,37.0155,32.892,25.353,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2335,33.6705,34.4395,36.591,38.134,38.277,39.287,37.1505,23.327,29.8375,24.2515,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0465,27.56,33.787,37.107,38.2855,38.424,38.822,38.3675,36.9525,32.5985,23.8535,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6545,31.1785,36.034,37.7865,35.6665,38.7465,38.212,38.276,37.0065,33.658,25.3475,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1535,32.217,37.518,39.7905,40.3155,40.3805,40.2055,39.746,37.961,34.1935,24.6245,0.0,0.0,0.0,0.0,0.0
