from,to,distance
0,1,168.13716759145476
1,8,97.71801555706146
2,10,25.64051761019445
2,81,21.093186352633275
3,10,9.77284773553261
4,5,14.722680730890115
4,82,38.45503572744751
5,6,11.187419855524007
5,14,34.419125618044795
6,7,10.56915884431103
7,8,14.924691013451136
8,9,14.175746894785682
9,10,14.297213127270261
11,19,31.2347331419897
11,24,31.673818742111482
12,19,9.565130653233101
13,14,13.073833780590235
14,15,11.648915273425837
15,16,11.76476681209976
16,17,14.628261845293638
17,18,14.789787027503106
17,83,26.22440936816249
18,19,11.51361307349775
20,21,30.69505311815711
20,29,25.490161875011328
21,22,12.673149334250303
21,30,33.370031694069326
22,23,11.906281851895214
23,24,13.871615678420145
24,25,14.14124360650201
25,26,14.836221890867753
26,27,11.048596603837716
27,28,13.800445247896233
29,34,36.171753347620836
30,31,11.641803004880181
32,33,21.029874511822822
32,85,343.71197258106304
33,34,13.202394813147592
33,40,13.979553857973572
34,35,14.212542860822111
35,36,15.138193485871959
36,37,12.264372694072359
37,38,11.827605269053986
37,41,28.224071463118605
38,39,11.534428017345384
41,42,20.860716744610727
42,43,13.527779108294554
42,49,11.575412161867128
43,44,12.127648941823882
44,45,13.927576043988115
46,47,14.301765293855148
47,48,10.99781001357822
48,49,15.133813308790192
48,50,26.813780019515217
50,51,28.401752671832607
51,52,12.044804871612627
52,53,10.224182630537626
53,54,14.343138002048043
54,55,15.242812231490987
55,56,12.696286134241717
56,57,12.718915407999198
57,58,12.243985366439173
59,67,21.67080499647413
60,61,11.325439895625252
60,67,9.93136270636022
61,62,12.5069253918824
61,84,51.322147559011285
62,63,13.833236787006543
63,64,11.325339005317229
63,75,33.054658862601265
64,65,11.524816217128487
65,66,13.26971983606001
68,69,32.034432739531866
69,70,13.550275256246385
69,76,13.036341489456595
71,72,12.218732132513459
72,73,11.815260547344348
73,74,14.134657737512354
74,75,12.74101888792439
75,76,10.526257334749605
77,78,10.47222686729206
78,80,21.13424797475007
78,84,49.280000913242866
79,80,12.262897081454595
79,81,25.787213061993576
85,86,21.063414994505475
85,92,29.869140044498913
86,136,64.13501149537487
87,88,30.706097527246445
87,96,31.30786743097706
88,89,15.846371717543029
88,95,15.573564895697604
89,90,15.652825913760275
90,91,12.721041445262415
91,92,13.182812777391273
92,93,13.925214758232013
94,95,11.547771507083022
96,102,40.362311271653425
97,105,31.616840008260493
97,109,33.090611563539404
98,99,14.727020670611404
99,100,13.171002046726116
100,101,17.275537558510926
101,102,14.738577306761046
102,103,14.852709560932412
103,104,15.631900257742762
104,105,14.166321276590661
106,107,26.669751341377417
107,108,13.685595513557438
107,114,12.78269044821087
108,109,9.520567428605101
109,110,13.1858982962354
110,111,14.89085951534301
111,112,13.817880268125206
112,113,11.384806857567055
114,119,27.881021769552376
115,116,20.344415497834436
116,117,11.601022961792319
116,123,15.763226905451996
117,118,14.01620669549877
118,119,11.730678327163954
119,120,15.262203560978712
120,121,10.136085721674801
121,122,12.068655976719844
124,125,80.58852724990875
124,204,46.92127622286809
126,130,42.53399865528829
126,164,42.681877879491275
127,128,21.671399286861575
127,139,67.5496838803491
128,129,15.400294877390714
128,135,16.161577928065185
129,130,14.633609367050555
130,131,16.72901086436616
131,132,16.710893977512054
132,133,12.080994763630468
132,154,43.37319531859159
133,134,15.89642792276785
136,137,34.56962117978161
137,138,15.228364553288323
137,144,15.837165012769486
138,139,17.559231969604685
139,140,17.00391482642166
140,141,13.416587087596607
141,142,16.789428107426893
143,144,15.85165383840188
